"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1170","Переход на страницу Ленты заказов и проверка отображения счётчика","tests","2026-08-31","passed","2026-08-31","TestNavigation","test_navigation","",""
"","2848","Счётчик 'Выполнено за всё время' увеличивается после создания заказа","tests","2026-08-31","passed","2026-08-31","TestOrderFeed","test_order_feed","",""
"","17","Переход на страницу Конструктора","tests","2026-08-31","passed","2026-08-31","TestNavigation","test_navigation","",""
"","81","Счётчик ингредиента увеличивается после добавления в заказ","tests","2026-08-31","passed","2026-08-31","TestIngredientCounter","test_ingredient_counter","",""
"","171","Модальное окно ингредиента открывается при клике","tests","2026-08-31","passed","2026-08-31","TestIngredientModal","test_ingredient_modal","",""
"","2795","Счётчик 'Выполнено за всё время' увеличивается после создания заказа","tests","2026-08-31","passed","2026-08-31","TestOrderFeed","test_order_feed","",""
"","2299","Счётчик 'Выполнено за сегодня' увеличивается после создания заказа","tests","2026-08-31","passed","2026-08-31","TestOrderFeed","test_order_feed","",""
"","134","Модальное окно ингредиента открывается при клике","tests","2026-08-31","passed","2026-08-31","TestIngredientModal","test_ingredient_modal","",""
"","979","Модальное окно ингредиента закрывается по крестику","tests","2026-08-31","passed","2026-08-31","TestIngredientModal","test_ingredient_modal","",""
"","792","Модальное окно ингредиента закрывается по крестику","tests","2026-08-31","passed","2026-08-31","TestIngredientModal","test_ingredient_modal","",""
"","91","Счётчик ингредиента увеличивается после добавления в заказ","tests","2026-08-31","passed","2026-08-31","TestIngredientCounter","test_ingredient_counter","",""
"","20551","Номер созданного заказа отображается в разделе 'В работе'","tests","2026-08-31","broken","2026-08-31","TestOrderFeed","test_order_feed","",""
"","82","Переход на страницу Конструктора","tests","2026-08-31","passed","2026-08-31","TestNavigation","test_navigation","",""
"","2822","Счётчик 'Выполнено за сегодня' увеличивается после создания заказа","tests","2026-08-31","passed","2026-08-31","TestOrderFeed","test_order_feed","",""
"","6454","Номер созданного заказа отображается в разделе 'В работе'","tests","2026-08-31","broken","2026-08-31","TestOrderFeed","test_order_feed","",""
"","1078","Переход на страницу Ленты заказов и проверка отображения счётчика","tests","2026-08-31","passed","2026-08-31","TestNavigation","test_navigation","",""
